ClientID,ClientName,TargetCity,Industry,PanelType,CampaignType,StartDate,MessagesSent,DeliveryRate,OpenRate,ClickRate,ResponseRate,Conversions,Revenue,DatabaseSize,RepeatClient
CL00001,Client_1,Chennai,Hotels,SMS Panel,Lead Nurturing,16-09-2024,21170,0.81,,,0.14,25,48300,10631,No
CL00002,Client_2,Bhubaneswar,Hotels,SMS Panel,Bulk Broadcast,22-05-2024,44201,0.75,,,0.03,9,8586,32346,No
CL00003,Client_3,Kolkata,Hospitals,Email Panel,Bulk Broadcast,18-12-2024,14390,0.87,0.63,0.04,0.15,15,24795,1307,No
CL00004,Client_4,Bangalore,Salons,WhatsApp Panel,Lead Nurturing,07-02-2024,25731,0.75,0.31,0.05,0.08,15,23535,35600,No
CL00005,Client_5,Chennai,IT Companies,Meta Verified API,Lead Nurturing,14-11-2024,42975,0.88,0.34,0.05,0.06,17,27540,36576,No
CL00006,Client_6,Jaipur,Hotels,SMS Panel,Lead Nurturing,11-01-2024,22161,0.85,,,0.09,3,4050,6861,No
CL00007,Client_7,Mumbai,Startups,Email Panel,Bulk Broadcast,16-06-2024,30574,0.75,0.25,0.1,0.15,43,18834,44295,Yes
CL00008,Client_8,Ahmedabad,Startups,SMS Panel,Targeted,08-05-2024,23930,0.9,,,0.07,5,8190,36180,No
CL00009,Client_9,Jaipur,Gyms,SMS Panel,Targeted,13-12-2024,25314,0.71,,,0.14,12,6900,27860,No
CL00010,Client_10,Kolkata,IT Companies,Meta Verified API,Bulk Broadcast,03-05-2024,15234,0.79,0.48,0.12,0.04,26,19890,40470,Yes
CL00011,Client_11,Ahmedabad,Coaching Centers,Meta Verified API,Lead Nurturing,19-12-2024,18693,0.97,0.81,0.21,0.14,2,936,39587,No
CL00012,Client_12,Chennai,Real Estate,Email Panel,Lead Nurturing,27-09-2024,3744,0.71,0.35,0.07,0.05,4,6260,37967,No
CL00013,Client_13,Delhi,Salons,Meta Verified API,Retargeting,23-07-2024,30798,0.78,0.49,0.05,0.12,10,14900,36969,No
CL00014,Client_14,Hyderabad,Schools,Email Panel,Targeted,24-01-2024,43805,0.92,0.39,0.02,0.12,45,39330,18201,No
CL00015,Client_15,Chennai,Real Estate,SMS Panel,Bulk Broadcast,25-12-2024,41984,0.73,,,0.13,47,17766,5513,No
CL00016,Client_16,Chennai,Hotels,Meta Verified API,Bulk Broadcast,13-02-2024,5760,0.79,0.39,0.12,0.1,7,2534,15621,No
CL00017,Client_17,Chennai,Startups,SMS Panel,Targeted,04-11-2024,36083,0.73,,,0.11,36,27828,4013,No
CL00018,Client_18,Jaipur,Startups,SMS Panel,Targeted,10-08-2024,37254,0.82,,,0.01,3,2736,13528,No
CL00019,Client_19,Hyderabad,Salons,SMS Panel,Targeted,01-06-2024,1775,0.88,,,0.05,3,1830,33060,No
CL00020,Client_20,Delhi,Schools,SMS Panel,Targeted,29-11-2024,24128,0.77,,,0.07,24,34944,48790,Yes
CL00021,Client_21,Ahmedabad,Salons,WhatsApp Panel,Bulk Broadcast,07-02-2024,48125,0.72,0.34,0.04,0.14,67,111555,4919,No
CL00022,Client_22,Ahmedabad,Retail Shops,SMS Panel,Bulk Broadcast,03-08-2024,16134,0.96,,,0.09,25,34775,38812,No
CL00023,Client_23,Delhi,Real Estate,Email Panel,Targeted,01-08-2024,7447,0.79,0.29,0.04,0.07,13,20241,24915,No
CL00024,Client_24,Pune,Schools,SMS Panel,Targeted,19-01-2024,32164,0.7,,,0.08,18,34506,42769,No
CL00025,Client_25,Chennai,Hospitals,SMS Panel,Retargeting,26-09-2024,18881,0.73,,,0.06,24,12768,11577,No
CL00026,Client_26,Bangalore,Hotels,SMS Panel,Targeted,24-11-2024,24150,0.85,,,0.11,21,11802,1411,No
CL00027,Client_27,Hyderabad,Real Estate,Email Panel,Bulk Broadcast,14-08-2024,35291,0.98,0.44,0.1,0.05,10,13250,28202,Yes
CL00028,Client_28,Mumbai,Hospitals,Email Panel,Retargeting,26-09-2024,11402,0.88,0.53,0.04,0.05,13,6786,2224,No
CL00029,Client_29,Delhi,Schools,Meta Verified API,Targeted,01-02-2024,6921,0.74,0.44,0.17,0.04,9,16695,30661,No
CL00030,Client_30,Mumbai,Hospitals,Meta Verified API,Lead Nurturing,16-09-2024,48763,0.77,0.57,0.1,0.1,42,18774,30236,No
CL00031,Client_31,Bhubaneswar,Gyms,SMS Panel,Retargeting,25-09-2024,10382,0.94,,,0.05,1,1313,28550,No
CL00032,Client_32,Chennai,Startups,WhatsApp Panel,Lead Nurturing,17-12-2024,44897,0.87,0.61,0.03,0.08,18,30672,986,Yes
CL00033,Client_33,Pune,IT Companies,WhatsApp Panel,Targeted,31-12-2024,46834,0.75,0.54,0.1,0.14,10,9720,17600,No
CL00034,Client_34,Jaipur,Salons,SMS Panel,Lead Nurturing,18-02-2024,5914,0.73,,,0.14,6,10572,7591,Yes
CL00035,Client_35,Hyderabad,Schools,WhatsApp Panel,Targeted,25-11-2024,41371,0.89,0.7,0.17,0.08,11,19811,2950,Yes
CL00036,Client_36,Jaipur,Real Estate,SMS Panel,Lead Nurturing,25-05-2024,43453,0.96,,,0.14,47,59455,28283,Yes
CL00037,Client_37,Chennai,IT Companies,Email Panel,Lead Nurturing,01-02-2024,38742,0.91,0.76,0.27,0.12,38,46930,37190,No
CL00038,Client_38,Pune,Real Estate,Email Panel,Lead Nurturing,19-05-2024,22619,0.96,0.64,0.03,0.02,12,10680,21016,Yes
CL00039,Client_39,Bhubaneswar,IT Companies,Email Panel,Targeted,12-06-2024,5406,0.75,0.47,0.14,0.1,3,2085,1064,No
CL00040,Client_40,Pune,Gyms,Meta Verified API,Targeted,11-11-2024,21266,0.77,0.38,0.12,0.1,29,22968,3128,No
CL00041,Client_41,Pune,Real Estate,Email Panel,Retargeting,02-12-2024,47674,0.86,0.31,0.06,0.05,28,51044,42727,Yes
CL00042,Client_42,Bangalore,Hotels,Meta Verified API,Retargeting,23-06-2024,11782,0.81,0.68,0.18,0.12,10,11030,5609,No
CL00043,Client_43,Delhi,Hospitals,Meta Verified API,Retargeting,24-08-2024,41503,0.84,0.35,0.11,0.05,4,6712,25795,Yes
CL00044,Client_44,Kolkata,Real Estate,WhatsApp Panel,Lead Nurturing,09-01-2024,32773,0.75,0.65,0.25,0.14,10,6520,3134,Yes
CL00045,Client_45,Pune,Retail Shops,WhatsApp Panel,Lead Nurturing,01-11-2024,24525,0.97,0.54,0.21,0.14,34,23562,9529,No
CL00046,Client_46,Bhubaneswar,Gyms,WhatsApp Panel,Retargeting,08-02-2024,34473,0.95,0.47,0.05,0.09,44,74272,45960,Yes
CL00047,Client_47,Pune,Coaching Centers,Meta Verified API,Retargeting,23-02-2024,1189,0.99,0.38,0.09,0.13,2,2466,30280,No
CL00048,Client_48,Mumbai,Startups,SMS Panel,Targeted,01-10-2024,31547,0.9,,,0.06,18,9720,12993,Yes
CL00049,Client_49,Delhi,Startups,Meta Verified API,Targeted,02-05-2024,13258,0.93,0.76,0.28,0.08,13,12519,7652,No
CL00050,Client_50,Kolkata,Real Estate,Meta Verified API,Lead Nurturing,03-01-2024,20825,0.89,0.64,0.21,0.13,10,14120,16310,Yes
CL00051,Client_51,Bangalore,Schools,WhatsApp Panel,Bulk Broadcast,04-12-2024,27025,0.73,0.47,0.03,0.08,20,12740,21478,Yes
CL00052,Client_52,Jaipur,Real Estate,Email Panel,Bulk Broadcast,21-02-2024,44013,0.87,0.28,0.02,0.13,20,29600,20361,No
CL00053,Client_53,Jaipur,Schools,Email Panel,Targeted,23-12-2024,38895,0.85,0.65,0.08,0.1,3,1902,5051,Yes
CL00054,Client_54,Bhubaneswar,Hotels,SMS Panel,Targeted,14-10-2024,12892,0.85,,,0.09,15,14055,27960,No
CL00055,Client_55,Chennai,IT Companies,Meta Verified API,Bulk Broadcast,28-08-2024,15637,0.98,0.6,0.1,0.12,6,2514,25203,No
CL00056,Client_56,Bhubaneswar,Hospitals,WhatsApp Panel,Retargeting,20-11-2024,26281,0.72,0.23,0.09,0.13,26,31668,14065,No
CL00057,Client_57,Bangalore,Retail Shops,Email Panel,Bulk Broadcast,24-08-2024,41451,0.75,0.3,0.04,0.09,57,109041,7123,No
CL00058,Client_58,Delhi,Coaching Centers,Meta Verified API,Lead Nurturing,08-11-2024,20788,0.86,0.57,0.11,0.04,14,6412,16260,No
CL00059,Client_59,Bhubaneswar,IT Companies,Email Panel,Lead Nurturing,18-12-2024,24999,0.7,0.26,0.02,0.02,37,68857,38404,No
CL00060,Client_60,Chennai,IT Companies,WhatsApp Panel,Targeted,24-06-2024,17575,0.73,0.43,0.09,0.03,11,12441,5376,No
CL00061,Client_61,Delhi,Coaching Centers,Meta Verified API,Retargeting,17-12-2024,7240,0.88,0.6,0.04,0.06,7,13573,43070,No
CL00062,Client_62,Hyderabad,Schools,Meta Verified API,Bulk Broadcast,28-02-2024,46947,0.95,0.66,0.07,0.02,40,60760,36363,No
CL00063,Client_63,Jaipur,IT Companies,WhatsApp Panel,Lead Nurturing,28-01-2024,4263,0.97,0.63,0.12,0.1,3,3129,21570,Yes
CL00064,Client_64,Pune,Retail Shops,Email Panel,Targeted,15-07-2024,3660,0.97,0.52,0.2,0.14,0,0,26312,No
